iter	Passed	Remaining
0	2	2138
1	4	2089
2	6	2086
3	8	2074
4	10	2111
5	12	2093
6	14	2041
7	16	2002
8	17	1974
9	19	1953
10	21	1937
11	23	1923
12	25	1905
13	26	1894
14	28	1879
15	30	1867
16	32	1851
17	33	1842
18	35	1832
19	37	1825
20	39	1818
21	40	1810
22	42	1802
23	44	1794
24	45	1789
25	47	1786
26	49	1780
27	51	1777
28	53	1779
29	55	1779
30	56	1776
31	58	1769
32	60	1765
33	61	1759
34	63	1756
35	65	1754
36	67	1751
37	69	1750
38	70	1746
39	72	1743
40	74	1739
41	76	1735
42	77	1732
43	79	1728
44	81	1725
45	83	1723
46	84	1719
47	86	1716
48	88	1717
49	90	1713
50	91	1709
51	93	1706
52	95	1703
53	97	1700
54	98	1697
55	100	1695
56	102	1691
57	104	1690
58	106	1691
59	107	1688
60	109	1685
61	111	1681
62	112	1679
63	114	1676
64	116	1673
65	118	1670
66	119	1667
67	121	1663
68	123	1663
69	124	1660
70	126	1659
71	128	1657
72	130	1655
73	132	1652
74	134	1662
75	136	1660
76	138	1658
77	140	1655
78	141	1653
79	143	1651
80	145	1651
81	147	1651
82	148	1641
83	150	1640
84	152	1639
85	154	1637
86	155	1634
87	157	1631
88	159	1629
89	161	1628
90	162	1626
91	164	1627
92	166	1625
93	168	1623
94	170	1620
95	171	1619
96	173	1616
97	175	1613
98	177	1611
99	178	1609
100	181	1611
101	183	1611
102	184	1609
103	186	1607
104	188	1604
105	190	1602
106	191	1600
107	193	1599
108	195	1600
109	197	1598
110	199	1597
111	201	1594
112	202	1592
113	204	1590
114	206	1587
115	207	1584
116	209	1579
117	211	1578
118	212	1576
119	214	1573
120	216	1569
121	217	1565
122	219	1563
123	221	1561
124	222	1558
125	224	1556
126	225	1552
127	227	1551
128	229	1549
129	231	1547
130	232	1544
131	234	1542
132	236	1541
133	238	1539
134	239	1537
135	241	1535
136	243	1533
137	245	1531
138	246	1529
139	248	1527
140	250	1525
141	251	1520
142	253	1518
143	255	1516
144	256	1515
145	258	1512
146	260	1510
147	261	1507
148	263	1505
149	265	1503
150	267	1501
151	268	1499
152	270	1497
153	272	1496
154	274	1494
155	276	1493
156	277	1491
157	279	1488
158	280	1486
159	282	1483
160	283	1479
161	285	1477
162	287	1477
163	289	1476
164	291	1474
165	293	1472
166	294	1470
167	296	1468
168	298	1466
169	299	1464
170	301	1463
171	303	1463
172	305	1461
173	307	1459
174	309	1457
175	310	1454
176	312	1453
177	314	1451
178	316	1449
179	318	1448
180	319	1447
181	321	1444
182	323	1443
183	325	1441
184	326	1439
185	328	1437
186	330	1435
187	331	1433
188	333	1431
189	335	1429
190	337	1427
191	338	1425
192	340	1423
193	342	1421
194	343	1419
195	345	1417
196	347	1416
197	349	1414
198	350	1412
199	352	1409
200	354	1407
201	355	1405
202	357	1403
203	359	1401
204	360	1399
205	362	1397
206	364	1394
207	365	1393
208	367	1391
209	369	1389
210	370	1386
211	372	1384
212	374	1383
213	376	1381
214	377	1379
215	379	1376
216	380	1374
217	382	1371
218	384	1369
219	385	1367
220	387	1365
221	389	1363
222	390	1361
223	392	1359
224	394	1357
225	395	1355
226	397	1353
227	399	1351
228	400	1348
229	402	1347
230	404	1345
231	405	1343
232	407	1341
233	409	1339
234	410	1337
235	412	1335
236	414	1333
237	415	1330
238	417	1328
239	418	1326
240	420	1324
241	422	1322
242	424	1321
243	425	1319
244	427	1317
245	429	1315
246	430	1313
247	432	1311
248	434	1309
249	435	1307
250	437	1305
251	438	1303
252	440	1301
253	442	1298
254	443	1297
255	445	1294
256	447	1292
257	448	1291
258	450	1289
259	452	1287
260	453	1285
261	455	1283
262	457	1281
